lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"A. Bradley, .I. Smith, .T. Harris, .A. Drummond, .R. Bullock",DET,1,16,100.0,120.5,-20.5,46.7,1.75,14.9,15.0,75.0,37.5,0.1,51.5,52.4,113.06,31.5,2018-01-15
"A. Tolliver, .D. Buycks, .R. Bullock, .E. Moreland, .L. Kennard",DET,1,7,71.4,107.1,-35.7,80.0,0.80,22.2,0.0,87.5,63.6,0.4,62.5,62.5,98.10,40.0,2018-01-15
"A. Bradley, .I. Smith, .T. Harris, .A. Drummond, .L. Kennard",DET,1,6,114.3,141.7,-27.4,80.0,1.33,22.2,0.0,80.0,40.0,0.2,65.0,70.7,98.79,41.9,2018-01-15
"A. Tolliver, .A. Bradley, .I. Smith, .A. Drummond, .R. Bullock",DET,1,4,62.5,122.2,-59.7,50.0,0.50,11.1,0.0,100,40.0,0.3,40.0,42.5,111.78,18.8,2018-01-15
"A. Tolliver, .A. Bradley, .I. Smith, .R. Bullock, .E. Moreland",DET,1,3,150.0,100.0,50.0,75.0,0.00,33.3,0.0,50.0,25.0,0.0,75.0,75.0,106.97,62.5,2018-01-15
"A. Tolliver, .A. Bradley, .D. Buycks, .A. Drummond, .L. Kennard",DET,1,2,175.0,75.0,100.0,33.3,0.00,20.0,0.0,66.7,50.0,0.0,87.5,87.5,84.09,85.0,2018-01-15
"A. Tolliver, .A. Bradley, .D. Buycks, .E. Moreland, .L. Kennard",DET,1,2,40.0,80.0,-40.0,100,0.00,16.7,0.0,66.7,33.3,0.0,25.0,25.0,132.11,30.8,2018-01-15
"A. Tolliver, .A. Bradley, .I. Smith, .A. Drummond, .L. Kennard",DET,1,2,166.7,0.0,166.7,50.0,0.00,25.0,0.0,100,75.0,0.0,83.3,83.3,94.21,233.3,2018-01-15
"A. Tolliver, .D. Buycks, .A. Drummond, .R. Bullock, .L. Kennard",DET,1,2,75.0,150.0,-75.0,100,1.00,16.7,50.0,50.0,50.0,0.3,50.0,50.0,108.68,18.8,2018-01-15
"A. Tolliver, .I. Smith, .A. Drummond, .R. Bullock, .L. Kennard",DET,1,2,200.0,0.0,200.0,100,0.00,37.5,0.0,75.0,50.0,0.0,90.0,91.9,135.85,124.0,2018-01-15
"A. Tolliver, .A. Bradley, .I. Smith, .T. Harris, .L. Kennard",DET,1,1,0.0,166.7,-166.7,0.0,0.00,0.0,0.0,100,33.3,0.3,0.0,0.0,170.85,-33.3,2018-01-15
"A. Tolliver, .I. Smith, .T. Harris, .R. Bullock, .L. Kennard",DET,1,1,150.0,0.0,150.0,100,0.00,25.0,100,50.0,66.7,0.0,50.0,52.1,88.62,-800.0,2018-01-15
"A. Tolliver, .T. Harris, .D. Buycks, .R. Bullock, .L. Kennard",DET,1,1,0.0,50.0,-50.0,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,0.0,127.06,0.0,2018-01-15
"A. Bradley, .I. Smith, .T. Harris, .R. Bullock, .E. Moreland",DET,1,0,0.0,200.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.00,0.0,2018-01-15
"A. Tolliver, .A. Bradley, .D. Buycks, .A. Drummond, .R. Bullock",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"A. Tolliver, .A. Bradley, .I. Smith, .D. Buycks, .L. Kennard",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"A. Tolliver, .I. Smith, .R. Bullock, .E. Moreland, .L. Kennard",DET,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"D. Howard, .M. Williams, .N. Batum, .K. Walker, .M. Kidd-Gilchrist",CHA,1,27,124.6,103.3,21.3,46.4,1.18,16.7,23.8,89.7,62.0,0.2,68.9,70.1,108.09,63.7,2018-01-15
"J. Lamb, .M. Carter-Williams, .J. O'Bryant III, .F. Kaminsky, .T. Graham",CHA,1,9,105.9,68.4,37.5,66.7,4.00,17.4,18.2,83.3,41.2,0.1,43.8,49.5,95.54,56.3,2018-01-15
"D. Howard, .N. Batum, .K. Walker, .M. Kidd-Gilchrist, .F. Kaminsky",CHA,1,3,60.0,140.0,-80.0,100,0.00,16.7,0.0,100,25.0,0.0,37.5,30.7,94.74,0.0,2018-01-15
"D. Howard, .J. Lamb, .M. Carter-Williams, .F. Kaminsky, .T. Graham",CHA,1,2,175.0,100.0,75.0,0.0,0.00,0.0,66.7,50.0,60.0,0.0,50.0,60.8,88.16,70.6,2018-01-15
"D. Howard, .N. Batum, .K. Walker, .J. Lamb, .F. Kaminsky",CHA,1,2,66.7,125.0,-58.3,100,0.00,25.0,0.0,100,33.3,0.0,33.3,33.3,105.00,21.1,2018-01-15
"N. Batum, .K. Walker, .J. Lamb, .J. O'Bryant III, .F. Kaminsky",CHA,1,2,0.0,200.0,-200.0,0.0,0.00,0.0,25.0,100,50.0,0.2,0.0,0.0,135.85,-24.0,2018-01-15
"D. Howard, .M. Kidd-Gilchrist, .J. Lamb, .M. Carter-Williams, .F. Kaminsky",CHA,1,1,50.0,66.7,-16.7,0.0,0.00,0.0,33.3,100,60.0,0.3,33.3,33.3,131.94,14.3,2018-01-15
"D. Howard, .M. Williams, .N. Batum, .K. Walker, .J. Lamb",CHA,1,1,150.0,0.0,150.0,100,1.00,33.3,0.0,100,100,0.5,150.0,150.0,117.55,133.3,2018-01-15
"K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .J. O'Bryant III, .F. Kaminsky",CHA,1,1,150.0,0.0,150.0,100,0.00,33.3,0.0,100,50.0,0.0,50.0,61.5,155.68,125.0,2018-01-15
"M. Williams, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .F. Kaminsky",CHA,1,1,200.0,150.0,50.0,0.0,0.00,0.0,0.0,100,100,0.0,100,100,127.06,50.0,2018-01-15
"D. Howard, .K. Walker, .J. Lamb, .M. Carter-Williams, .F. Kaminsky",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"D. Howard, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb, .F. Kaminsky",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"D. Howard, .M. Williams, .K. Walker, .M. Kidd-Gilchrist, .J. Lamb",CHA,1,0,200.0,0.0,200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,100,100,102.86,100,2018-01-15
"K. Walker, .J. Lamb, .J. O'Bryant III, .F. Kaminsky, .T. Graham",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"M. Kidd-Gilchrist, .J. Lamb, .M. Carter-Williams, .F. Kaminsky, .T. Graham",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"M. Williams, .N. Batum, .K. Walker, .J. Lamb, .F. Kaminsky",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"N. Batum, .J. Lamb, .J. O'Bryant III, .F. Kaminsky, .T. Graham",CHA,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2018-01-15
"L. Williams, .B. Griffin, .W. Reed, .T. Wallace, .M. Teodosic",LAC,1,9,157.9,163.2,-5.3,90.9,5.00,34.5,0.0,45.5,31.3,0.1,87.5,88.9,98.24,55.5,2018-01-15
"L. Williams, .B. Griffin, .W. Johnson, .M. Harrell, .M. Teodosic",LAC,1,5,100.0,87.5,12.5,33.3,0.50,9.1,25.0,85.7,63.6,0.2,50.0,54.1,90.33,60.9,2018-01-15
"L. Williams, .B. Griffin, .W. Johnson, .T. Wallace, .M. Teodosic",LAC,1,5,107.7,38.5,69.2,80.0,4.00,21.1,28.6,83.3,53.8,0.1,45.8,49.3,117.74,145.5,2018-01-15
"L. Williams, .B. Griffin, .M. Harrell, .T. Wallace, .J. Evans",LAC,1,4,160.0,70.0,90.0,85.7,0.00,37.5,0.0,80.0,50.0,0.0,75.0,76.6,121.01,81.1,2018-01-15
"L. Williams, .W. Johnson, .M. Harrell, .T. Wallace, .J. Evans",LAC,1,4,137.5,112.5,25.0,40.0,2.00,20.0,0.0,50.0,33.3,0.1,78.6,78.6,95.29,62.5,2018-01-15
