,Date,Game_Index,Team,GameYear
0,2018-10-16,1,BOS,18
1,2018-10-16,1,PHI,18
2,2018-10-16,2,GSW,18
3,2018-10-16,2,OKC,18
4,2018-10-17,1,CHO,18
5,2018-10-17,1,MIL,18
6,2018-10-17,2,DET,18
7,2018-10-17,2,BRK,18
8,2018-10-17,3,HOU,18
9,2018-10-17,3,NOP,18
10,2018-10-17,4,IND,18
11,2018-10-17,4,MEM,18
12,2018-10-17,5,LAC,18
13,2018-10-17,5,DEN,18
14,2018-10-17,6,NYK,18
15,2018-10-17,6,ATL,18
16,2018-10-17,7,ORL,18
17,2018-10-17,7,MIA,18
18,2018-10-17,8,PHO,18
19,2018-10-17,8,DAL,18
20,2018-10-17,9,SAC,18
21,2018-10-17,9,UTA,18
22,2018-10-17,10,SAS,18
23,2018-10-17,10,MIN,18
24,2018-10-17,11,TOR,18
25,2018-10-17,11,CLE,18
26,2018-10-18,1,PHI,18
27,2018-10-18,1,CHI,18
28,2018-10-18,2,POR,18
29,2018-10-18,2,LAL,18
30,2018-10-18,3,WAS,18
31,2018-10-18,3,MIA,18
32,2018-10-19,1,BRK,18
33,2018-10-19,1,NYK,18
34,2018-10-19,2,LAC,18
35,2018-10-19,2,OKC,18
36,2018-10-19,3,MEM,18
37,2018-10-19,3,ATL,18
38,2018-10-19,4,MIL,18
39,2018-10-19,4,IND,18
40,2018-10-19,5,MIN,18
41,2018-10-19,5,CLE,18
42,2018-10-19,6,NOP,18
43,2018-10-19,6,SAC,18
44,2018-10-19,7,ORL,18
45,2018-10-19,7,CHO,18
46,2018-10-19,8,TOR,18
47,2018-10-19,8,BOS,18
48,2018-10-19,9,UTA,18
49,2018-10-19,9,GSW,18
50,2018-10-20,1,CHI,18
51,2018-10-20,1,DET,18
52,2018-10-20,2,DAL,18
53,2018-10-20,2,MIN,18
54,2018-10-20,3,DEN,18
55,2018-10-20,3,PHO,18
56,2018-10-20,4,IND,18
57,2018-10-20,4,BRK,18
58,2018-10-20,5,LAL,18
59,2018-10-20,5,HOU,18
60,2018-10-20,6,MIA,18
61,2018-10-20,6,CHO,18
62,2018-10-20,7,NYK,18
63,2018-10-20,7,BOS,18
64,2018-10-20,8,PHI,18
65,2018-10-20,8,ORL,18
66,2018-10-20,9,POR,18
67,2018-10-20,9,SAS,18
68,2018-10-20,10,WAS,18
69,2018-10-20,10,TOR,18
70,2018-10-21,1,CLE,18
71,2018-10-21,1,ATL,18
72,2018-10-21,2,DEN,18
73,2018-10-21,2,GSW,18
74,2018-10-21,3,LAC,18
75,2018-10-21,3,HOU,18
76,2018-10-21,4,OKC,18
77,2018-10-21,4,SAC,18
78,2018-10-22,1,BOS,18
79,2018-10-22,1,ORL,18
80,2018-10-22,2,DAL,18
81,2018-10-22,2,CHI,18
82,2018-10-22,3,GSW,18
83,2018-10-22,3,PHO,18
84,2018-10-22,4,LAL,18
85,2018-10-22,4,SAS,18
86,2018-10-22,5,MIL,18
87,2018-10-22,5,NYK,18
88,2018-10-22,6,MIN,18
89,2018-10-22,6,IND,18
90,2018-10-22,7,POR,18
91,2018-10-22,7,WAS,18
92,2018-10-22,8,TOR,18
93,2018-10-22,8,CHO,18
94,2018-10-22,9,UTA,18
95,2018-10-22,9,MEM,18
96,2018-10-23,1,DEN,18
97,2018-10-23,1,SAC,18
98,2018-10-23,2,DET,18
99,2018-10-23,2,PHI,18
100,2018-10-23,3,NOP,18
101,2018-10-23,3,LAC,18
102,2018-10-24,1,ATL,18
103,2018-10-24,1,DAL,18
104,2018-10-24,2,CHI,18
105,2018-10-24,2,CHO,18
106,2018-10-24,3,CLE,18
107,2018-10-24,3,BRK,18
108,2018-10-24,4,GSW,18
109,2018-10-24,4,WAS,18
110,2018-10-24,5,HOU,18
111,2018-10-24,5,UTA,18
112,2018-10-24,6,MIA,18
113,2018-10-24,6,NYK,18
114,2018-10-24,7,MIL,18
115,2018-10-24,7,PHI,18
116,2018-10-24,8,PHO,18
117,2018-10-24,8,LAL,18
118,2018-10-24,9,SAC,18
119,2018-10-24,9,MEM,18
120,2018-10-24,10,SAS,18
121,2018-10-24,10,IND,18
122,2018-10-24,11,TOR,18
123,2018-10-24,11,MIN,18
124,2018-10-25,1,DET,18
125,2018-10-25,1,CLE,18
126,2018-10-25,2,LAL,18
127,2018-10-25,2,DEN,18
128,2018-10-25,3,OKC,18
129,2018-10-25,3,BOS,18
130,2018-10-25,4,ORL,18
131,2018-10-25,4,POR,18
132,2018-10-26,1,CHO,18
133,2018-10-26,1,CHI,18
134,2018-10-26,2,HOU,18
135,2018-10-26,2,LAC,18
136,2018-10-26,3,MIN,18
137,2018-10-26,3,MIL,18
138,2018-10-26,4,NOP,18
139,2018-10-26,4,BRK,18
140,2018-10-26,5,NYK,18
141,2018-10-26,5,GSW,18
142,2018-10-26,6,SAC,18
143,2018-10-26,6,WAS,18
144,2018-10-26,7,TOR,18
145,2018-10-26,7,DAL,18
146,2018-10-27,1,ATL,18
147,2018-10-27,1,CHI,18
148,2018-10-27,2,CLE,18
149,2018-10-27,2,IND,18
150,2018-10-27,3,DET,18
151,2018-10-27,3,BOS,18
152,2018-10-27,4,MEM,18
153,2018-10-27,4,PHO,18
154,2018-10-27,5,MIA,18
155,2018-10-27,5,POR,18
156,2018-10-27,6,MIL,18
157,2018-10-27,6,ORL,18
158,2018-10-27,7,NOP,18
159,2018-10-27,7,UTA,18
160,2018-10-27,8,PHI,18
161,2018-10-27,8,CHO,18
162,2018-10-27,9,SAS,18
163,2018-10-27,9,LAL,18
164,2018-10-28,1,BRK,18
165,2018-10-28,1,GSW,18
166,2018-10-28,2,DAL,18
167,2018-10-28,2,UTA,18
168,2018-10-28,3,LAC,18
169,2018-10-28,3,WAS,18
170,2018-10-28,4,OKC,18
171,2018-10-28,4,PHO,18
172,2018-10-29,1,CHI,18
173,2018-10-29,1,GSW,18
174,2018-10-29,2,DEN,18
175,2018-10-29,2,NOP,18
176,2018-10-29,3,IND,18
177,2018-10-29,3,POR,18
178,2018-10-29,4,MIA,18
179,2018-10-29,4,SAC,18
180,2018-10-29,5,MIL,18
181,2018-10-29,5,TOR,18
182,2018-10-29,6,MIN,18
183,2018-10-29,6,LAL,18
184,2018-10-29,7,NYK,18
185,2018-10-29,7,BRK,18
186,2018-10-29,8,PHI,18
187,2018-10-29,8,ATL,18
188,2018-10-29,9,SAS,18
189,2018-10-29,9,DAL,18
190,2018-10-30,1,BOS,18
191,2018-10-30,1,DET,18
192,2018-10-30,2,CHO,18
193,2018-10-30,2,MIA,18
194,2018-10-30,3,CLE,18
195,2018-10-30,3,ATL,18
196,2018-10-30,4,HOU,18
197,2018-10-30,4,POR,18
198,2018-10-30,5,MEM,18
199,2018-10-30,5,WAS,18
200,2018-10-30,6,OKC,18
201,2018-10-30,6,LAC,18
202,2018-10-30,7,ORL,18
203,2018-10-30,7,SAC,18
204,2018-10-30,8,TOR,18
205,2018-10-30,8,PHI,18
206,2018-10-31,1,BRK,18
207,2018-10-31,1,DET,18
208,2018-10-31,2,CHI,18
209,2018-10-31,2,DEN,18
210,2018-10-31,3,GSW,18
211,2018-10-31,3,NOP,18
212,2018-10-31,4,LAL,18
213,2018-10-31,4,DAL,18
214,2018-10-31,5,MIN,18
215,2018-10-31,5,UTA,18
216,2018-10-31,6,NYK,18
217,2018-10-31,6,IND,18
218,2018-10-31,7,PHO,18
219,2018-10-31,7,SAS,18
220,2018-11-01,1,ATL,18
221,2018-11-01,1,SAC,18
222,2018-11-01,2,BOS,18
223,2018-11-01,2,MIL,18
224,2018-11-01,3,CHO,18
225,2018-11-01,3,OKC,18
226,2018-11-01,4,CLE,18
227,2018-11-01,4,DEN,18
228,2018-11-01,5,PHI,18
229,2018-11-01,5,LAC,18
230,2018-11-01,6,POR,18
231,2018-11-01,6,NOP,18
232,2018-11-02,1,BRK,18
233,2018-11-02,1,HOU,18
234,2018-11-02,2,CHI,18
235,2018-11-02,2,IND,18
236,2018-11-02,3,DAL,18
237,2018-11-02,3,NYK,18
238,2018-11-02,4,GSW,18
239,2018-11-02,4,MIN,18
240,2018-11-02,5,ORL,18
241,2018-11-02,5,LAC,18
242,2018-11-02,6,PHO,18
243,2018-11-02,6,TOR,18
244,2018-11-02,7,UTA,18
245,2018-11-02,7,MEM,18
246,2018-11-02,8,WAS,18
247,2018-11-02,8,OKC,18
248,2018-11-03,1,ATL,18
249,2018-11-03,1,MIA,18
250,2018-11-03,2,CHI,18
251,2018-11-03,2,HOU,18
252,2018-11-03,3,CHO,18
253,2018-11-03,3,CLE,18
254,2018-11-03,4,DEN,18
255,2018-11-03,4,UTA,18
256,2018-11-03,5,IND,18
257,2018-11-03,5,BOS,18
258,2018-11-03,6,PHI,18
259,2018-11-03,6,DET,18
260,2018-11-03,7,POR,18
261,2018-11-03,7,LAL,18
262,2018-11-03,8,SAS,18
263,2018-11-03,8,NOP,18
264,2018-11-04,1,BRK,18
265,2018-11-04,1,PHI,18
266,2018-11-04,2,LAL,18
267,2018-11-04,2,TOR,18
268,2018-11-04,3,MIL,18
269,2018-11-04,3,SAC,18
270,2018-11-04,4,PHO,18
271,2018-11-04,4,MEM,18
272,2018-11-04,5,POR,18
273,2018-11-04,5,MIN,18
274,2018-11-04,6,SAS,18
275,2018-11-04,6,ORL,18
276,2018-11-04,7,WAS,18
277,2018-11-04,7,NYK,18
278,2018-11-05,1,DEN,18
279,2018-11-05,1,BOS,18
280,2018-11-05,2,DET,18
281,2018-11-05,2,MIA,18
282,2018-11-05,3,GSW,18
283,2018-11-05,3,MEM,18
284,2018-11-05,4,IND,18
285,2018-11-05,4,HOU,18
286,2018-11-05,5,LAC,18
287,2018-11-05,5,MIN,18
288,2018-11-05,6,NYK,18
289,2018-11-05,6,CHI,18
290,2018-11-05,7,OKC,18
291,2018-11-05,7,NOP,18
292,2018-11-05,8,ORL,18
293,2018-11-05,8,CLE,18
294,2018-11-05,9,UTA,18
295,2018-11-05,9,TOR,18
296,2018-11-06,1,CHO,18
297,2018-11-06,1,ATL,18
298,2018-11-06,2,DAL,18
299,2018-11-06,2,WAS,18
300,2018-11-06,3,PHO,18
301,2018-11-06,3,BRK,18
302,2018-11-06,4,POR,18
303,2018-11-06,4,MIL,18
304,2018-11-07,1,ATL,18
305,2018-11-07,1,NYK,18
306,2018-11-07,2,CLE,18
307,2018-11-07,2,OKC,18
308,2018-11-07,3,IND,18
309,2018-11-07,3,PHI,18
310,2018-11-07,4,LAL,18
311,2018-11-07,4,MIN,18
312,2018-11-07,5,MEM,18
313,2018-11-07,5,DEN,18
314,2018-11-07,6,MIA,18
315,2018-11-07,6,SAS,18
316,2018-11-07,7,NOP,18
317,2018-11-07,7,CHI,18
318,2018-11-07,8,ORL,18
319,2018-11-07,8,DET,18
320,2018-11-07,9,SAC,18
321,2018-11-07,9,TOR,18
322,2018-11-07,10,UTA,18
323,2018-11-07,10,DAL,18
