lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"E. Brand, .A. Iguodala, .S. Hawes, .J. Holiday, .J. Meeks",PHI,1,15,157.7,129.6,28.1,68.8,3.67,26.8,40.0,71.4,58.3,0.1,69.2,72.7,83.87,58.2,2011-02-23
"D. Songaila, .A. Nocioni, .M. Speights, .J. Meeks, .E. Turner",PHI,1,5,50.0,180.0,-130.0,50.0,0.25,9.1,0.0,100,40.0,0.4,50.0,50.0,96.64,-10.2,2011-02-23
"L. Williams, .T. Young, .M. Speights, .J. Holiday, .E. Turner",PHI,1,5,118.2,40.0,78.2,25.0,1.00,7.1,40.0,100,75.0,0.1,44.4,55.8,94.50,121.7,2011-02-23
"A. Iguodala, .L. Williams, .T. Young, .M. Speights, .E. Turner",PHI,1,3,216.7,83.3,133.3,50.0,0.00,22.2,100,60.0,66.7,0.0,90.0,96.2,90.47,112.9,2011-02-23
"E. Brand, .A. Iguodala, .L. Williams, .T. Young, .E. Turner",PHI,1,3,0.0,83.3,-83.3,0.0,0.00,0.0,33.3,100,55.6,0.3,0.0,0.0,96.54,0.0,2011-02-23
"E. Brand, .A. Iguodala, .L. Williams, .T. Young, .J. Meeks",PHI,1,3,114.3,100.0,14.3,0.0,0.00,0.0,0.0,50.0,33.3,0.1,33.3,70.9,127.84,93.3,2011-02-23
"A. Iguodala, .T. Young, .M. Speights, .J. Holiday, .J. Meeks",PHI,1,2,100.0,100.0,0.0,50.0,0.00,16.7,33.3,100,50.0,0.0,40.0,40.0,98.93,38.9,2011-02-23
"E. Brand, .A. Iguodala, .T. Young, .J. Holiday, .E. Turner",PHI,1,2,100.0,50.0,50.0,50.0,1.00,16.7,0.0,100,75.0,0.2,83.3,83.3,129.60,100,2011-02-23
"E. Brand, .A. Iguodala, .T. Young, .J. Holiday, .J. Meeks",PHI,1,2,150.0,20.0,130.0,66.7,0.00,33.3,0.0,25.0,20.0,0.0,75.0,75.0,116.76,400.0,2011-02-23
"E. Brand, .L. Williams, .T. Young, .J. Meeks, .E. Turner",PHI,1,2,140.0,40.0,100.0,100,0.00,25.0,100,100,100,0.0,66.7,73.5,109.92,166.7,2011-02-23
"L. Williams, .T. Young, .M. Speights, .J. Meeks, .E. Turner",PHI,1,2,166.7,100.0,66.7,100,2.00,33.3,100,50.0,66.7,0.3,83.3,83.3,90.81,68.4,2011-02-23
"D. Songaila, .A. Nocioni, .L. Williams, .M. Speights, .E. Turner",PHI,1,1,133.3,0.0,133.3,100,0.00,40.0,0.0,100,75.0,0.0,66.7,66.7,117.21,140.0,2011-02-23
"D. Songaila, .L. Williams, .M. Speights, .J. Meeks, .E. Turner",PHI,1,1,100.0,300.0,-200.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,53.2,127.06,0.0,2011-02-23
"E. Brand, .T. Young, .J. Holiday, .J. Meeks, .E. Turner",PHI,1,1,75.0,33.3,41.7,0.0,0.00,0.0,0.0,100,50.0,0.0,0.0,39.9,122.93,0.0,2011-02-23
"E. Brand, .A. Iguodala, .J. Holiday, .J. Meeks, .E. Turner",PHI,1,0,100.0,0.0,100.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,56.8,99.31,0.0,2011-02-23
"E. Brand, .A. Iguodala, .S. Hawes, .T. Young, .J. Holiday",PHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2011-02-23
"E. Brand, .A. Iguodala, .T. Young, .J. Meeks, .E. Turner",PHI,1,0,0.0,100.0,-100.0,0.0,0.00,0.0,0.0,100,100,0.0,0.0,0.0,181.51,0.0,2011-02-23
"L. Williams, .T. Young, .M. Speights, .J. Holiday, .J. Meeks",PHI,1,0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,2011-02-23
"J. Howard, .A. Blatche, .N. Young, .J. McGee, .J. Wall",WAS,1,10,133.3,142.1,-8.8,60.0,0.00,23.1,20.0,66.7,37.5,0.0,57.9,59.1,91.55,42.5,2011-02-23
"A. Thornton, .C. Martin, .J. Wall, .K. Seraphin, .T. Booker",WAS,1,6,138.5,69.2,69.2,75.0,0.00,31.6,0.0,100,44.4,0.0,61.5,64.8,97.50,84.7,2011-02-23
"J. Howard, .A. Blatche, .N. Young, .J. Wall, .T. Booker",WAS,1,5,58.3,141.7,-83.3,0.0,0.00,0.0,33.3,75.0,50.0,0.3,37.5,35.9,115.20,-15.6,2011-02-23
"J. Howard, .N. Young, .J. Wall, .K. Seraphin, .T. Booker",WAS,1,4,125.0,162.5,-37.5,50.0,2.00,15.4,50.0,50.0,50.0,0.1,40.0,46.0,94.04,21.6,2011-02-23
"R. Lewis, .J. Yi, .A. Thornton, .C. Martin, .J. Wall",WAS,1,4,37.5,50.0,-12.5,100,0.00,11.1,0.0,50.0,25.0,0.0,21.4,21.4,100.61,-20.0,2011-02-23
"J. Howard, .A. Blatche, .J. Yi, .N. Young, .J. Wall",WAS,1,3,100.0,71.4,28.6,100,0.00,14.3,0.0,100,40.0,0.0,25.0,52.1,122.35,63.2,2011-02-23
"A. Blatche, .J. Yi, .N. Young, .C. Martin, .J. Wall",WAS,1,2,133.3,133.3,0.0,100,1.00,16.7,100,50.0,75.0,0.3,50.0,51.5,73.22,44.4,2011-02-23
"J. Howard, .A. Blatche, .A. Thornton, .N. Young, .T. Booker",WAS,1,2,50.0,100.0,-50.0,0.0,0.00,0.0,0.0,66.7,50.0,0.5,50.0,50.0,98.46,25.0,2011-02-23
"J. Howard, .A. Blatche, .J. McGee, .C. Martin, .J. Wall",WAS,1,2,133.3,150.0,-16.7,50.0,0.00,16.7,66.7,0.0,50.0,0.0,40.0,40.0,68.11,22.2,2011-02-23
"R. Lewis, .J. Howard, .A. Blatche, .A. Thornton, .N. Young",WAS,1,2,100.0,160.0,-60.0,100,2.00,28.6,0.0,100,33.3,0.2,50.0,56.3,98.63,24.0,2011-02-23
"R. Lewis, .J. Yi, .A. Thornton, .N. Young, .J. Wall",WAS,1,2,40.0,160.0,-120.0,0.0,0.00,0.0,0.0,0.0,0.0,0.4,33.3,33.3,108.76,-100.0,2011-02-23
"A. Blatche, .A. Thornton, .C. Martin, .J. Wall, .T. Booker",WAS,1,1,133.3,150.0,-16.7,0.0,0.00,0.0,50.0,0.0,50.0,0.0,50.0,50.0,120.00,20.0,2011-02-23
