lineup,TEAM,GP,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TO RATIO,EFG%,TS%,PACE,PIE,GAMEDAY
"D. Howard, .P. Millsap, .D. Schroder, .T. Hardaway Jr., .T. Prince",ATL,1,12,120.0,84.0,36.0,50.0,2.00,17.1,36.4,92.9,68.0,0.1,54.5,59.8,99.86,70.1,2017-04-11
"M. Dunleavy, .K. Humphries, .J. Calderon, .T. Sefolosha, .M. Delaney",ATL,1,6,55.6,90.0,-34.4,100,0.67,12.5,55.6,60.0,57.1,0.3,22.7,22.7,81.92,-8.3,2017-04-11
"M. Dunleavy, .E. Ilyasova, .K. Bazemore, .M. Muscala, .T. Prince",ATL,1,5,100.0,90.9,9.1,100,2.00,23.5,33.3,71.4,53.8,0.2,62.5,64.4,108.95,60.0,2017-04-11
"M. Dunleavy, .E. Ilyasova, .K. Bazemore, .D. Schroder, .M. Muscala",ATL,1,4,155.6,75.0,80.6,80.0,0.00,28.6,33.3,100,66.7,0.0,68.8,71.7,96.76,94.1,2017-04-11
"D. Howard, .E. Ilyasova, .T. Sefolosha, .K. Bazemore, .D. Schroder",ATL,1,3,100.0,60.0,40.0,50.0,1.00,16.7,0.0,22.2,20.0,0.2,66.7,64.4,81.82,220.0,2017-04-11
"D. Howard, .P. Millsap, .K. Bazemore, .D. Schroder, .T. Hardaway Jr",ATL,1,3,42.9,100.0,-57.1,100,0.25,11.1,33.3,100,66.7,0.6,37.5,37.5,100.65,-14.3,2017-04-11
"K. Humphries, .J. Calderon, .T. Sefolosha, .M. Muscala, .M. Delaney",ATL,1,3,166.7,33.3,133.3,80.0,4.00,40.0,0.0,100,100,0.2,100,100,86.83,113.3,2017-04-11
"D. Howard, .E. Ilyasova, .K. Bazemore, .D. Schroder, .T. Hardaway Jr",ATL,1,2,40.0,50.0,-10.0,100,1.00,16.7,33.3,50.0,40.0,0.2,33.3,33.3,116.76,57.1,2017-04-11
"D. Howard, .J. Calderon, .T. Sefolosha, .P. Millsap, .T. Hardaway Jr",ATL,1,2,50.0,175.0,-125.0,0.0,0.00,0.0,0.0,40.0,33.3,0.3,50.0,50.0,88.62,0.0,2017-04-11
"J. Calderon, .P. Millsap, .M. Muscala, .T. Hardaway Jr., .T. Prince",ATL,1,2,175.0,0.0,175.0,100,3.00,37.5,100,100,100,0.3,87.5,87.5,115.71,133.3,2017-04-11
