0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"A. Horford, .G. Hayward, .K. Irving, .J. Brown, .J. Tatum",BOS,1,7.3,14.0,5.0,16.0,31.3,1.0,5.0,20.0,3.0,3.0,100,1.0,7.0,8.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2018-10-16
"G. Hayward, .A. Baynes, .M. Smart, .T. Rozier, .J. Tatum",BOS,1,5.4,11.0,5.0,12.0,41.7,1.0,3.0,33.3,0.0,0.0,0.0,2.0,4.0,6.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,4.0,2018-10-16
"A. Horford, .K. Irving, .A. Baynes, .J. Brown, .J. Tatum",BOS,1,5.3,14.0,5.0,8.0,62.5,2.0,4.0,50.0,2.0,2.0,100,0.0,4.0,4.0,4.0,2.0,0.0,1.0,1.0,2.0,3.0,2.0,2018-10-16
"A. Horford, .K. Irving, .M. Morris, .M. Smart, .J. Brown",BOS,1,5.3,11.0,4.0,12.0,33.3,2.0,5.0,40.0,1.0,2.0,50.0,3.0,5.0,8.0,4.0,2.0,1.0,0.0,1.0,2.0,1.0,-1.0,2018-10-16
"A. Horford, .G. Hayward, .M. Smart, .T. Rozier, .J. Tatum",BOS,1,4.5,9.0,3.0,5.0,60.0,2.0,3.0,66.7,1.0,2.0,50.0,0.0,5.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,5.0,2018-10-16
"K. Irving, .M. Morris, .A. Baynes, .T. Rozier, .J. Brown",BOS,1,4.0,12.0,5.0,9.0,55.6,2.0,6.0,33.3,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,2018-10-16
"M. Morris, .A. Baynes, .M. Smart, .T. Rozier, .J. Tatum",BOS,1,2.9,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,-7.0,2018-10-16
"A. Horford, .K. Irving, .M. Morris, .T. Rozier, .J. Brown",BOS,1,2.2,8.0,3.0,5.0,60.0,0.0,1.0,0.0,2.0,3.0,66.7,0.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,5.0,2018-10-16
"G. Hayward, .M. Morris, .M. Smart, .T. Rozier, .D. Theis",BOS,1,2.0,6.0,3.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2018-10-16
"A. Horford, .G. Hayward, .K. Irving, .M. Morris, .J. Brown",BOS,1,1.6,5.0,2.0,4.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,-3.0,2018-10-16
